Question (natural user phrasing),Expected Answer / Policy Rule,Category,Source PDF (exact filename),Notes,Evaluation Method
Can exercise help with my sleep since starting cancer treatment?,Yes. Exercise is listed among the approaches that can improve sleep in people during and following cancer treatment. Both aerobic and combined aerobic plus resistance training programs show evidence of improving sleep quality.,Sleep,ConsolidatedInfographicfortheACSMRoundtableonCancerandExercise.pdf,,RAGAS
I am scared to do resistance training because of my lymphedema. What does the research say?,Progressive supervised resistance training does not exacerbate lymphedema — this is specifically supported by the research evidence. Starting with supervised sessions is recommended to ensure proper progression and form.,Physical Activity,ConsolidatedInfographicfortheACSMRoundtableonCancerandExercise.pdf,,RAGAS
How much exercise do I need to do for it to make a difference for my bone health?,"For bone health specifically, at least 12 months of resistance training combined with high-impact training is needed. Bone health outcomes take longer to respond to exercise than outcomes like fatigue or anxiety, which can show improvements in 6 to 12 weeks.",Physical Activity,ConsolidatedInfographicfortheACSMRoundtableonCancerandExercise.pdf,,RAGAS
I barely feel like moving some days. Is there any point in doing a little exercise?,"Yes. The core message from the research is to avoid inactivity — moving more and sitting less benefits nearly everyone. Even small amounts of activity are beneficial, and lower amounts of exercise than what is recommended for the general adult public can still help with cancer treatment-related symptoms.",Physical Activity,ConsolidatedInfographicfortheACSMRoundtableonCancerandExercise.pdf,,RAGAS
Does what I eat actually affect my cancer risk?,"Yes. Poor diet is directly attributable to an estimated 4.2% to 5.2% of cancer cases per year. A healthy eating pattern rich in vegetables, whole fruits, and whole grains while limiting red and processed meats, sugar-sweetened beverages, and highly processed foods is recommended for reducing cancer risk.",Diet,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
I sit at a desk all day for work. Does that put me at higher cancer risk even if I exercise after work?,"Sedentary behavior has been investigated as a behavior distinctly different from physical inactivity. Prolonged sitting time is associated with higher risk of colon, endometrial, and lung cancers based on current evidence. Reducing sitting time throughout the day matters alongside structured exercise.",Physical Activity,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
How does exercise help lower my cancer risk — what is actually happening in my body?,"Physical activity affects several body systems that lower cancer risk, including insulin and glucose metabolism, immune function, inflammation levels, sex hormones, oxidative stress, and myokines — proteins released by muscles during exercise. Physical activity also helps prevent weight gain, which itself is a cancer risk factor.",Physical Activity,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
How much exercise do I need to lower my cancer risk — is there a target to aim for?,"The evidence supports a linear relationship between physical activity and cancer prevention — the more moderate to vigorous physical activity, the greater the benefit. The minimum recommendation is 150 to 300 minutes per week of moderate-intensity activity, but exceeding 300 minutes may provide even greater cancer prevention benefit.",Physical Activity,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
I am a postmenopausal woman and I am worried about breast cancer. Does exercise help?,"Yes. Physical activity has been associated with lower sex hormone levels in postmenopausal women, which helps explain the association between being active and a lower risk of postmenopausal breast cancer. There is strong evidence linking physical activity with reduced breast cancer risk.",Physical Activity,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
Should I cut out all sugar to reduce my cancer risk?,"The recommendation is to limit sugar-sweetened beverages and highly processed foods — not to eliminate all sugar. A healthy eating pattern includes foods high in nutrients in amounts that help maintain a healthy body weight, with a variety of vegetables, fruits, and whole grains while limiting processed items.",Diet,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
Is it better to do more exercise or just avoid sitting so much?,Both matter. The message from the research is to move more and sit less — the greatest risk reduction comes from transitioning from doing no physical activity to doing any amount. Structured exercise and reducing sitting time throughout the day are both important for cancer prevention and cardiovascular health.,Physical Activity,CA_A_Cancer_J_Clinicians__2020__Rock__American_Cancer_Society_guideline_for_diet_and_physical_activity_for_cancer.pdf,,RAGAS
When should I start thinking about nutrition after a cancer diagnosis?,"As soon as possible after diagnosis. Nutritional assessment and counseling should begin early, with the goals of preventing or resolving nutrient deficiencies, preserving muscle mass, and managing side effects of treatments that may negatively affect nutritional status.",Diet,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
Should I drink alcohol at all as a cancer survivor?,Alcohol is an established cause of several types of cancer and is among the substances recommended to be avoided for cancer survivors. Avoiding alcohol consumption is relevant to reducing the risk of a new cancer developing after survivorship.,Diet,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
Can staying active after cancer treatment reduce my chances of the cancer coming back?,"Yes. Being in the highest categories of physical activity after diagnosis is associated with significantly reduced cancer-specific and all-cause mortality for breast, colorectal, and prostate cancer survivors. Higher physical activity after a prostate cancer diagnosis was associated with a 31% reduced risk of prostate cancer-specific mortality.",Physical Activity,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
My doctor has never talked to me about diet or exercise. Is that normal?,"Unfortunately it is common. Studies show that cancer survivors are not necessarily following nutrition and physical activity guidelines more than people without a cancer history, and gaps in counseling about diet, alcohol, and physical activity may be partly to blame. Even survivors with known cardiovascular risk factors often report not having health promotion discussions with their providers.",Cancer & Survivorship Education,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
I have been told I am at risk for metabolic syndrome after my cancer treatment. Can lifestyle changes help?,"Yes. Research has confirmed that following the nutrition and physical activity guidelines for cancer survivors can improve health-related quality of life and reduce the risk of developing metabolic syndrome. Metabolic syndrome increases risk for diabetes and cardiovascular disease, making lifestyle management especially important after cancer treatment.",Cancer & Survivorship Education,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
What dietary patterns are safe and beneficial for cancer survivors?,"Many dietary patterns can fit within evidence-based guidelines for cancer survivors, including the Mediterranean diet, vegetarian or mostly plant-based diets, and the US Dietary Guidelines for Americans. The key is a pattern rich in vegetables, fruits, whole grains, and lean protein while limiting processed meats, added sugar, alcohol, and ultra-processed foods.",Diet,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
"I lost a lot of muscle during chemotherapy. Should I try to gain it back, and how?","Yes, muscle preservation and recovery are important. Resistance training is the primary intervention for rebuilding muscle mass lost during treatment. Working with both an exercise professional and an oncology dietitian can help ensure adequate protein intake and exercise progression support muscle recovery.",Physical Activity,CA_A_Cancer_J_Clinicians__2022__Rock__American_Cancer_Society_nutrition_and_physical_activity_guideline_for_cancer.pdf,,RAGAS
I finished cancer treatment. Should I be following the same diet and lifestyle advice as people trying to prevent cancer?,"Yes. Unless otherwise advised by a health professional, following cancer prevention recommendations is unlikely to be harmful to survivors who have completed treatment. These recommendations include maintaining a healthy body weight, being physically active, eating a healthy diet, and avoiding or limiting alcohol.",Cancer & Survivorship Education,summary-third-expert-report.pdf,,RAGAS
What foods should I focus on eating more of to support my health after cancer?,"The evidence strongly supports a dietary pattern rich in plant foods — vegetables, whole fruits, whole grains, and beans and legumes — while limiting red and processed meats, sugar-sweetened beverages, ultra-processed foods, and refined grain products.",Diet,summary-third-expert-report.pdf,,RAGAS
Is it true that following a healthy lifestyle actually reduces cancer risk in real-world populations?,"Yes. Studies evaluating adherence to cancer prevention recommendations have shown that the more people adhere to them, the greater the reductions in risk of specific cancers, of cancer as a whole, and of death. These benefits extend beyond cancer to other non-communicable diseases.",Cancer & Survivorship Education,summary-third-expert-report.pdf,,RAGAS
"Should I focus on one specific food or nutrient to reduce my cancer risk, like eating more antioxidants?","The research emphasizes considering overall patterns of diet and physical activity together rather than focusing on singular effects of specific foods or nutrients. A metabolic state that is more or less conducive to cancer development is created by the overall combination of behaviors, not one isolated food.",Diet,summary-third-expert-report.pdf,,RAGAS
I am at a healthy weight. Is weight management still something I need to think about?,"Yes. The recommendations emphasize maintaining a healthy weight throughout life, not just reaching one. Cancer risk is associated with excess body fat, and weight management through sustainable diet and activity patterns remains important for long-term health even when current weight is in a healthy range.",BMI,summary-third-expert-report.pdf,,RAGAS
Can lifting weights actually help reduce my risk of getting cancer?,"Research found that people who engaged in weight lifting had a significantly lower risk of colon cancer. There was also a trend toward lower kidney cancer risk among weight lifters, though that finding did not reach statistical significance after accounting for aerobic activity. Weight lifting was not significantly associated with the other eight cancer types studied.",Physical Activity,weight_training_and_risk_of_10_common_types_of_7.pdf,,RAGAS
Why might lifting weights help protect against colon cancer specifically?,"Weight lifting stimulates greater development of lean muscle mass, which helps maintain glucose homeostasis — keeping blood sugar regulated. This could lower cancer risk because elevated insulin and blood sugar are associated with increased cancer risk, particularly for colon cancer.",Physical Activity,weight_training_and_risk_of_10_common_types_of_7.pdf,,RAGAS
"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?","They appear to offer complementary but different benefits. In research looking at colon cancer specifically, the weight lifting association was found to predominate — with markedly lower risk among weight lifters and little further reduction when additional aerobic activity was added. This suggests resistance training provides unique benefits beyond what aerobic exercise alone delivers for colon cancer risk.",Physical Activity,weight_training_and_risk_of_10_common_types_of_7.pdf,,RAGAS
Do the benefits of weight training for cancer risk differ between men and women?,"Yes, for colon cancer specifically. Research found a statistically significant protective effect of weight lifting for men but not for women when looking at colon cancer risk. These differences require further exploration to understand their full implications.",Physical Activity,weight_training_and_risk_of_10_common_types_of_7.pdf,,RAGAS
"If I already do some weight training, do I need to do more to get cancer prevention benefits?","Research found significantly lower colon cancer risk at both low and high weight lifting levels compared to no weight lifting. The hazard ratio was similar for both low and high weight lifting, suggesting that some weight training provides meaningful benefit and doing more does not necessarily double the protection.",Physical Activity,weight_training_and_risk_of_10_common_types_of_7.pdf,,RAGAS
"I am older and just starting to exercise after a prostate cancer diagnosis. Does the amount of weight training I do really matter, or is any amount helpful?","Research in older men with prostate cancer initiating an exercise program found that lower volume resistance training at moderate to high intensity is as effective as higher volume training for improving body composition, functional capacity, and muscle strength in the short term. A lower exercise dose helps reduce barriers and may improve adherence.",Physical Activity,resistance_exercise_dosage_in_men_with_prostate_1.pdf,,RAGAS
I have prostate cancer and had surgery. Can exercise help me recover?,"Yes. Resistance exercise alone or combined with aerobic training has been shown to reduce post-surgical impairments from prostatectomy, including improvements in functional capacity and muscle strength. Starting at a lower exercise dose and progressing gradually is appropriate for those beginning after surgery.",Physical Activity,resistance_exercise_dosage_in_men_with_prostate_1.pdf,,RAGAS
My prostate cancer has spread to my bones. Is it safe for me to lift weights?,"Exercise for those with bone metastases requires individualized medical assessment. Research has explored resistance exercise in prostate cancer patients with bone metastases and found it can preserve physical function in some cases, but the approach must account for fracture risk at specific skeletal sites. Your care team must be involved in any exercise planning.",Physical Activity,resistance_exercise_dosage_in_men_with_prostate_1.pdf,,RAGAS
I am on active surveillance for low-grade prostate cancer. Should I be doing resistance training?,Exercise medicine is expanding to include patients on active surveillance. Evidence suggests exercise can provide benefits including improved physical function and quality of life even for patients not yet on active treatment. Starting an exercise program under these circumstances is considered appropriate.,Physical Activity,resistance_exercise_dosage_in_men_with_prostate_1.pdf,,RAGAS
I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,"Yes. Older cancer survivors can benefit from appropriately prescribed exercise, and exercise should be an essential component of cancer care for older adults. Existing evidence shows that more modest levels of exercise, below those recommended for the general public, can still improve cancer-related health outcomes for older adults.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
I am an older cancer survivor and I have been falling more lately. Can exercise help with that?,"Yes. Older cancer survivors are at greater risk of falls than the general older adult population. Regular balance training is strongly recommended to improve postural stability, gait, and balance. Tai chi specifically is endorsed as an effective approach for older cancer survivors, and balance training should be integrated into any exercise prescription.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,"Stretches targeting each of the major muscle-tendon units, held to the point of mild discomfort or tightness for 30 to 60 seconds per stretch, at least two and up to seven days per week, is the recommended flexibility prescription for older cancer survivors. Flexibility training is particularly important before beginning resistance training because range of motion limitations can impede proper exercise form.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
"What qualifications should the person helping me exercise have, given that I am an older cancer survivor?","The person prescribing and delivering exercise should have empathy and patience and be able to appropriately modify and tailor exercises. It is strongly encouraged that they have experience, education, or advanced certification specific to exercise in older adults and/or cancer survivors.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
My memory has not been the same since chemotherapy. How should my exercise program account for this?,"Exercise delivery for older cancer survivors should use clear, slow-paced, jargon-free verbal instructions at an audible level, followed by feedback to praise or refine technique. Modifications to the environment and instructional approach may be needed for those experiencing cognitive changes from treatment.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
I have neuropathy from chemo and balance problems. What kinds of exercise are recommended for me?,"Balance training is strongly recommended for older cancer survivors with neuropathy and balance issues. Tai chi is specifically endorsed. The exercise environment should be set up to reduce fall risk, and exercises should be modified for sensory and neuromuscular changes caused by treatment. Proper footwear for stability is also recommended.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
I am 68 and a cancer survivor. How is my exercise plan different from a younger survivor's?,"Exercise recommendations for older cancer survivors complement but do not override the general cancer survivor guidelines. Specific additions for older adults include mandatory balance training, flexibility training at least twice weekly, attention to cognitive and sensory changes, and a focus on fall prevention. Exercise intensity may be more modest than for younger survivors.",Physical Activity,Cancer2026Winters_StoneExerciserecommendationsforolderadultslivingwithandbeyondcancerAconsensusNiniCallan.pdf,,RAGAS
How much does being physically active lower my risk of dying from cancer?,"Research reviews have found that higher levels of physical activity are associated with decreased all-cause and cancer-specific mortality in individuals diagnosed with breast, colorectal, or prostate cancer, with relative risk reductions ranging almost up to 40% to 50%.",Physical Activity,physical_activity_in_cancer_prevention_and_20.pdf,,RAGAS
How many people will be living with cancer in the coming years?,"The number of cancer survivors in the US is expected to exceed 20 million by 2026. Worldwide, over 18 million new cancer cases and over 9.5 million cancer deaths were projected for 2018, with these numbers continuing to grow.",Cancer & Survivorship Education,physical_activity_in_cancer_prevention_and_20.pdf,,RAGAS
"Does the benefit of exercise for cancer risk apply no matter my age, race, or weight?","Research has examined whether the protective associations between physical activity and cancer vary by age, sex, race and ethnicity, socioeconomic status, and weight status. More research is needed to fully characterize associations for population subgroups, determine dose-response relationships, and understand the mechanisms involved.",Physical Activity,physical_activity_in_cancer_prevention_and_20.pdf,,RAGAS
I heard something about exercise cutting cancer risk and helping the heart. What does the evidence actually show?,"Being active after a cancer diagnosis can reduce cancer-specific or all-cause mortality by up to 50%. Just 11 minutes of moderate activity per day — like brisk walking or yoga — can cut cardiovascular risk by 17%, lower cancer risk by 7%, and reduce early death risk by 23%.",Physical Activity,combined_scripts.pdf,,RAGAS
What foods should I completely cut out after my cancer diagnosis?,"The guidance is to limit or avoid red meats such as beef, lamb, or pork and processed meats like bacon or deli meats; limit or avoid sugar-sweetened beverages including soft drinks, sports drinks, and specialty coffee drinks; avoid ultra-processed foods and refined grain products; and limit alcohol, which has been linked to several cancers.",Diet,combined_scripts.pdf,,RAGAS
"Right after my diagnosis, should I be seeing a nutritionist?","Yes, and ideally as soon as possible. The goal of early nutritional assessment is to prevent or resolve nutrient deficiencies, preserve muscle mass, and manage side effects of treatments that may negatively affect nutritional status. If you are at risk for malnutrition or have diet-related side effects, your care team should refer you to a Registered Dietitian Nutritionist.",Diet,combined_scripts.pdf,,RAGAS
I feel really stiff after my cancer treatment. Would stretching help?,"Yes. Treatments like surgery, radiation, and chemotherapy can cause muscle tightness, nerve pain, stiffness, and reduced range of motion. Stretching helps relieve that discomfort and improves your ability to move with confidence. It also reduces stiffness and muscle tension, improves posture, and plays a role in fall prevention by supporting balance and mobility.",Physical Activity,combined_scripts.pdf,,RAGAS
How does exercise protect my heart as a cancer survivor?,"Exercise strengthens the heart, lowers blood pressure, improves cholesterol, and keeps blood vessels healthy. Heart disease is one of the top non-cancer threats to long-term cancer survivors, making cardiovascular fitness a critical priority during and after treatment.",Cancer & Survivorship Education,combined_scripts.pdf,,RAGAS
I was just diagnosed with early-stage prostate cancer. Does that mean I need treatment right away?,"Not necessarily. Many people with early-stage prostate cancer do not need to be treated immediately. Most people with early-stage disease live without symptoms for many years and often die of something else. Active surveillance — regular monitoring without immediate treatment — is an option for many, with treatment initiated only if the cancer grows or changes.",Cancer & Survivorship Education,prostateearlypatient.pdf,,RAGAS
What does it mean if my prostate cancer is described as localized?,"Localized prostate cancer means the cancer has not spread beyond the prostate gland. It usually grows slowly and stays inside the prostate. Localized prostate cancer is highly treatable and often curable, with more treatment choices available now than ever before.",Cancer & Survivorship Education,prostateearlypatient.pdf,,RAGAS
I have prostate cancer and my doctor mentioned heart health. Why does my cancer affect my heart?,"People with prostate cancer are at increased risk for heart disease and cardiovascular events like heart attack and stroke. This increased risk is mainly due to the cardiovascular side effects of androgen deprivation therapy and newer hormone therapies, though many factors contribute to heart disease beyond cancer treatments.",Cancer & Survivorship Education,prostateadvancedpatient.pdf,,RAGAS
What lifestyle changes can I make to protect my heart while being treated for prostate cancer?,"Key areas are: monitor blood pressure regularly since high blood pressure has no symptoms but is a major cardiovascular risk factor; manage cholesterol through diet and if needed medication; quit smoking if you currently smoke; eat a heart-healthy diet rich in fruits and vegetables and low in saturated fats, sugar, and salt; and exercise regularly even with mild physical activity, which can lower heart disease risk, increase bone density, reduce fatigue, and improve mood.",Cancer & Survivorship Education,prostateadvancedpatient.pdf,,RAGAS
My prostate cancer has spread regionally. What does treatment typically look like?,"For regional prostate cancer with a life expectancy of more than 5 years or with symptoms, the preferred initial treatment is external beam radiation therapy combined with long-term hormone therapy lasting 2 years plus abiraterone. Other options include radiation with hormone therapy without abiraterone, or hormone therapy alone for those with significant other health problems.",Cancer & Survivorship Education,prostateadvancedpatient.pdf,,RAGAS
Can an app actually help me set and stick to health goals?,"Research on digital health apps for behavior change shows that apps with SMART goal-setting features, self-monitoring, and AI feedback can support health behavior change. However, affirmation and educational prompts alone may not be sufficient — apps that also include constructive, actionable suggestions tend to be more effective at producing behavior-corrective feedback.",SMART Goal,formativev10e83630.pdf,,RAGAS
Is it useful for a health app to ask me to reflect on my progress?,Yes. Digital health platforms that incorporate structured self-reflection alongside goal-setting have shown engagement and behavior change benefits. Reflection prompts combined with AI feedback help users process their goal attainment and identify patterns in their behavior.,SMART Goal,formativev10e83630.pdf,,RAGAS
How does a health app track things like sleep and physical activity goals?,"Health apps can track behaviors through user-reported entries or connected devices. For physical activity, users can log activity type, intensity, and duration. For sleep, users report bedtime and wake time and the system calculates duration automatically. For diet, users log specific foods and servings consumed.",LE8 Composite,formativev10e83630.pdf,,RAGAS
Are the physical activity recommendations for cancer survivors different from the general adult guidelines?,"The general Physical Activity Guidelines for Americans serve as the baseline for cancer survivors as well, targeting 150 to 300 minutes of moderate-intensity activity per week. For cancer survivors, the guidelines are adapted based on health status and cancer and treatment-related side effects, with exercise programs individualized accordingly.",Physical Activity,nihms1841196.pdf,,RAGAS
